GO:0000054	ribosomal subunit export from nucleus	4	HORVU1Hr1G004960,HORVU0Hr1G014050,HORVU1Hr1G090760,HORVU1Hr1G043640
GO:0000055	ribosomal large subunit export from nucleus	13	HORVU5Hr1G124770,HORVU5Hr1G007910,HORVU7Hr1G018900,HORVU5Hr1G021240,HORVU5Hr1G123490,HORVU2Hr1G108050,HORVU6Hr1G014750,HORVU1Hr1G050300,HORVU2Hr1G016650,HORVU4Hr1G049150,HORVU2Hr1G100330,HORVU7Hr1G101230,HORVU7Hr1G002880
GO:0000056	ribosomal small subunit export from nucleus	6	HORVU7Hr1G069230,HORVU4Hr1G000620,HORVU6Hr1G087780,HORVU7Hr1G066360,HORVU2Hr1G100330,HORVU6Hr1G013720
GO:0000059	obsolete protein import into nucleus, docking	13	HORVU5Hr1G032370,HORVU5Hr1G124770,HORVU4Hr1G005950,HORVU6Hr1G037960,HORVU1Hr1G060180,HORVU4Hr1G028610,HORVU7Hr1G050160,HORVU5Hr1G021580,HORVU2Hr1G014200,HORVU2Hr1G126610,HORVU4Hr1G061650,HORVU0Hr1G020260,HORVU3Hr1G039600
GO:0000060	protein import into nucleus, translocation	13	HORVU5Hr1G018850,HORVU4Hr1G005950,HORVU6Hr1G077300,HORVU7Hr1G102300,HORVU4Hr1G077850,HORVU1Hr1G060180,HORVU1Hr1G059970,HORVU5Hr1G021580,HORVU4Hr1G069320,HORVU3Hr1G042440,HORVU2Hr1G126610,HORVU4Hr1G061650,HORVU7Hr1G027490
GO:0000066	mitochondrial ornithine transport	1	HORVU1Hr1G050130
GO:0000070	mitotic sister chromatid segregation	29	HORVU2Hr1G114460,HORVU5Hr1G053810,HORVU3Hr1G038430,HORVU4Hr1G001430,HORVU5Hr1G096830,HORVU6Hr1G054100,HORVU4Hr1G082690,HORVU1Hr1G044590,HORVU2Hr1G084050,HORVU3Hr1G080210,HORVU3Hr1G075710,HORVU5Hr1G049180,HORVU2Hr1G083860,HORVU2Hr1G059620,HORVU6Hr1G020090,HORVU3Hr1G074770,HORVU2Hr1G062400,HORVU6Hr1G041650,HORVU1Hr1G069530,HORVU7Hr1G080800,HORVU4Hr1G009350,HORVU5Hr1G099070,HORVU7Hr1G115290,HORVU6Hr1G079730,HORVU5Hr1G039960,HORVU6Hr1G018530,HORVU6Hr1G074220,HORVU1Hr1G027620,HORVU4Hr1G067810
GO:0000073	spindle pole body separation	1	HORVU5Hr1G049180
GO:0000075	cell cycle checkpoint	9	HORVU2Hr1G071670,HORVU3Hr1G064300,HORVU5Hr1G096870,HORVU1Hr1G019340,HORVU7Hr1G093190,HORVU6Hr1G078830,HORVU2Hr1G029330,HORVU3Hr1G077010,HORVU3Hr1G063320
GO:0000076	DNA replication checkpoint	6	HORVU5Hr1G045560,HORVU7Hr1G026400,HORVU2Hr1G105420,HORVU6Hr1G091550,HORVU1Hr1G022370,HORVU6Hr1G018060
GO:0000077	DNA damage checkpoint	11	HORVU7Hr1G026400,HORVU7Hr1G012570,HORVU7Hr1G042420,HORVU5Hr1G040190,HORVU4Hr1G013680,HORVU5Hr1G097000,HORVU6Hr1G091550,HORVU1Hr1G022370,HORVU4Hr1G005810,HORVU4Hr1G043300,HORVU6Hr1G094080
